id,url,brand,model,price,price_mark,generation,complectation,mileage,no_mileage_rf,color,body_type,power,fuel_type,engine_volume
797682033,https://auto.drom.ru/vladivostok/toyota/crown/797682033.html,Toyota,Crown,3100000,null,15 поколение,2.5 RS Advance,103 000,нет,серый,седан,184,бензин,2.5 л
565756646,https://auto.drom.ru/vladivostok/toyota/crown/565756646.html,Toyota,Crown,2600000,хорошая цена,15 поколение,2.5 S C Package,62 000,нет,серый,седан,184,бензин,2.5 л
375681496,https://auto.drom.ru/vladivostok/toyota/crown/375681496.html,Toyota,Crown,2480000,null,15 поколение,2.5 S C Package,225 000,нет,белый,седан,184,бензин,2.5 л
580932740,https://auto.drom.ru/vladivostok/toyota/crown/580932740.html,Toyota,Crown,3350000,null,15 поколение,2.5 G Executive Four 4WD,119 000,нет,черный,седан,184,бензин,2.5 л
114943094,https://auto.drom.ru/vladivostok/toyota/crown/114943094.html,Toyota,Crown,3300000,null,15 поколение,2.5 S Sport Style,104 000,нет,черный,седан,184,бензин,2.5 л
292845991,https://auto.drom.ru/vladivostok/toyota/crown/292845991.html,Toyota,Crown,3220000,null,15 поколение,2.5 RS Advance,135 000,нет,серый,седан,184,бензин,2.5 л
161918331,https://auto.drom.ru/vladivostok/toyota/crown/161918331.html,Toyota,Crown,3300000,нормальная цена,15 поколение,2.5 S,68 000,нет,белый,седан,184,бензин,2.5 л
547750286,https://auto.drom.ru/vladivostok/toyota/crown/547750286.html,Toyota,Crown,5530000,null,16 поколение,Sport 2.5 Hybrid Z 4WD,10 000,да,синий,джип/suv 5 дв.,186,бензин,2.5 л
792093105,https://auto.drom.ru/vladivostok/toyota/crown/792093105.html,Toyota,Crown,2895000,null,15 поколение,2.5 RS Advance,129 000,нет,белый,седан,184,бензин,2.5 л
643873790,https://auto.drom.ru/vladivostok/toyota/crown/643873790.html,Toyota,Crown,4350000,null,15 поколение,2.5 RS Advance,111 111,нет,белый,седан,184,бензин,2.5 л
324193319,https://auto.drom.ru/vladivostok/toyota/crown/324193319.html,Toyota,Crown,3150000,нормальная цена,15 поколение,2.5 RS Advance,90 000,нет,белый,седан,184,бензин,2.5 л
685647619,https://auto.drom.ru/vladivostok/toyota/crown/685647619.html,Toyota,Crown,3500000,null,15 поколение,2.5 RS Limited,108 000,нет,белый,седан,184,бензин,2.5 л
637710655,https://auto.drom.ru/vladivostok/toyota/crown/637710655.html,Toyota,Crown,3050000,null,15 поколение,2.5 S,23 000,нет,серый,седан,184,бензин,2.5 л
875193809,https://auto.drom.ru/vladivostok/toyota/crown/875193809.html,Toyota,Crown,5150000,нормальная цена,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,8 000,да,черный,седан,186,бензин,2.5 л
286400398,https://auto.drom.ru/vladivostok/toyota/crown/286400398.html,Toyota,Crown,3150000,null,15 поколение,2.5 RS Advance,140 000,нет,белый,седан,184,бензин,2.5 л
937000755,https://auto.drom.ru/vladivostok/toyota/crown/937000755.html,Toyota,Crown,3350999,нормальная цена,15 поколение,2.5 RS Advance,107 000,нет,белый,седан,184,бензин,2.5 л
498685200,https://auto.drom.ru/vladivostok/toyota/crown/498685200.html,Toyota,Crown,4100000,null,15 поколение,2.5 RS Advance Four 4WD,73 000,нет,серебристый,седан,184,бензин,2.5 л
190468205,https://auto.drom.ru/vladivostok/toyota/crown/190468205.html,Toyota,Crown,2300000,null,15 поколение,2.5 G,110 000,нет,белый,седан,184,бензин,2.5 л
641234736,https://auto.drom.ru/vladivostok/toyota/crown/641234736.html,Toyota,Crown,2958000,нормальная цена,15 поколение,2.5 S C Package,126 000,да,null,седан,184,бензин,2.5 л
364751542,https://auto.drom.ru/vladivostok/toyota/crown/364751542.html,Toyota,Crown,2800000,нормальная цена,15 поколение,2.5 RS Advance,178 000,нет,белый,седан,184,бензин,2.5 л
283263726,https://auto.drom.ru/vladivostok/toyota/crown/283263726.html,Toyota,Crown,3990000,нормальная цена,15 поколение,3.5 G Executive,62 000,нет,белый,седан,299,бензин,3.5 л
835411741,https://auto.drom.ru/vladivostok/toyota/crown/835411741.html,Toyota,Crown,4000000,null,15 поколение,3.5 RS Advance,69 300,да,белый,седан,299,бензин,3.5 л
223843140,https://auto.drom.ru/vladivostok/toyota/crown/223843140.html,Toyota,Crown,3030000,null,15 поколение,2.5 RS Advance,99 000,да,серый,седан,184,бензин,2.5 л
269495046,https://auto.drom.ru/vladivostok/toyota/crown/269495046.html,Toyota,Crown,4400000,null,15 поколение,3.5 G Executive,134 000,нет,черный,седан,299,бензин,3.5 л
546296460,https://auto.drom.ru/vladivostok/toyota/crown/546296460.html,Toyota,Crown,4400000,null,16 поколение,Crossover 2.5 Hybrid G 4WD,12 000,нет,белый,седан,186,бензин,2.5 л
884191203,https://auto.drom.ru/vladivostok/toyota/crown/884191203.html,Toyota,Crown,2750000,null,15 поколение,2.5 RS Advance Four 4WD,72 000,нет,черный,седан,184,бензин,2.5 л
281856268,https://auto.drom.ru/vladivostok/toyota/crown/281856268.html,Toyota,Crown,3800000,высокая цена,15 поколение,2.5 RS Four 4WD,67 606,нет,красный,седан,184,бензин,2.5 л
732188995,https://auto.drom.ru/vladivostok/toyota/crown/732188995.html,Toyota,Crown,4610000,null,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,39 000,нет,белый,седан,186,бензин,2.5 л
780777684,https://auto.drom.ru/vladivostok/toyota/crown/780777684.html,Toyota,Crown,2600000,null,15 поколение,2.0 S C Package,160 000,нет,белый,седан,245,бензин,2.0 л
767417504,https://auto.drom.ru/vladivostok/toyota/crown/767417504.html,Toyota,Crown,3220000,null,15 поколение,2.5 RS,67 116,нет,белый,седан,184,бензин,2.5 л
53307387,https://auto.drom.ru/vladivostok/toyota/crown/53307387.html,Toyota,Crown,3020000,null,15 поколение,2.5 RS,127 000,нет,черный,седан,184,бензин,2.5 л
822792343,https://auto.drom.ru/vladivostok/toyota/crown/822792343.html,Toyota,Crown,3500000,null,15 поколение,null,51 000,нет,черный,седан,184,бензин,2.5 л
411065643,https://auto.drom.ru/vladivostok/toyota/crown/411065643.html,Toyota,Crown,3400000,null,15 поколение,2.0 G,91 000,нет,черный,седан,245,бензин,2.0 л
757375398,https://auto.drom.ru/vladivostok/toyota/crown/757375398.html,Toyota,Crown,2900000,null,15 поколение,2.5 RS,100 000,нет,черный,седан,184,бензин,2.5 л
732230918,https://auto.drom.ru/vladivostok/toyota/crown/732230918.html,Toyota,Crown,3300000,нормальная цена,15 поколение,2.5 RS Advance,150 000,нет,черный,седан,184,бензин,2.5 л
508915522,https://auto.drom.ru/vladivostok/toyota/crown/508915522.html,Toyota,Crown,4680000,null,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,16 000,нет,черный,седан,186,бензин,2.5 л
364439480,https://auto.drom.ru/vladivostok/toyota/crown/364439480.html,Toyota,Crown,3410000,null,15 поколение,3.5 G Executive,110 000,нет,белый,седан,299,бензин,3.5 л
511561388,https://auto.drom.ru/vladivostok/toyota/crown/511561388.html,Toyota,Crown,2750000,null,15 поколение,2.5 S Elegance Style,93 000,нет,белый,седан,184,бензин,2.5 л
417557581,https://auto.drom.ru/vladivostok/toyota/crown/417557581.html,Toyota,Crown,2850000,null,15 поколение,2.5 S C Package,152 150,нет,серый,седан,184,бензин,2.5 л
